price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,fuel-system,engine-size,num-of-cylinders,engine-type,curb-weight,height,width,length,wheel-base,engine-location,drive-wheels,body-style,num-of-doors,aspiration,fuel-type,make,normalized-losses,symboling
13495,27,21,5000,111,9.0,2.68,3.47,,130,4,,2548,48.8,64.1,168.8,88.6,,,,2,,,,115,3
16500,27,21,5000,111,9.0,2.68,3.47,,130,4,,2548,48.8,64.1,168.8,88.6,,,,2,,,,115,3
16500,26,19,5000,154,9.0,3.47,2.68,,152,6,,2823,52.4,65.5,171.2,94.5,,,,2,,,,115,1
13950,30,24,5500,102,10.0,3.4,3.19,,109,4,,2337,54.3,66.2,176.6,99.8,,,,4,,,,164,2
17450,22,18,5500,115,8.0,3.4,3.19,,136,5,,2824,54.3,66.4,176.6,99.4,,,,4,,,,164,2
15250,25,19,5500,110,8.5,3.4,3.19,,136,5,,2507,53.1,66.3,177.3,99.8,,,,2,,,,115,2
17710,25,19,5500,110,8.5,3.4,3.19,,136,5,,2844,55.7,71.4,192.7,105.8,,,,4,,,,158,1
18920,25,19,5500,110,8.5,3.4,3.19,,136,5,,2954,55.7,71.4,192.7,105.8,,,,4,,,,115,1
23875,20,17,5500,140,8.3,3.4,3.13,,131,5,,3086,55.9,71.4,192.7,105.8,,,,4,,,,158,1
10295,22,16,5500,160,7.0,3.4,3.13,,131,5,,3053,52.0,67.9,178.2,99.5,,,,2,,,,115,0
16430,29,23,5800,101,8.8,2.8,3.5,,108,4,,2395,54.3,64.8,176.8,101.2,,,,2,,,,192,2
16925,29,23,5800,101,8.8,2.8,3.5,,108,4,,2395,54.3,64.8,176.8,101.2,,,,4,,,,192,0
20970,28,21,4250,121,9.0,3.19,3.31,,164,6,,2710,54.3,64.8,176.8,101.2,,,,2,,,,188,0
21105,28,21,4250,121,9.0,3.19,3.31,,164,6,,2765,54.3,64.8,176.8,101.2,,,,4,,,,188,0
24565,25,20,4250,121,9.0,3.19,3.31,,164,6,,3055,55.7,66.9,189.0,103.5,,,,4,,,,115,1
