IMBD title ID,Original titlÊ,Release year,Genrë¨,Duration,Country,Content Rating,Director,Unnamed: 8,Income, Votes ,Score
,1917,,,142.0,,,,,,605.648,9.3
,1917,,,175.0,,,,,,605.648,9.2
,1917,,,152.0,,,,,,605.648,9.0
,1917,,,220.0,,,,,,605.648,8.2
,1917,,,129.5,,,,,,605.648,8.2
,1917,,,201.0,,,,,,605.648,8.9
,1917,,,129.5,,,,,,605.648,8.9
,1917,,,96.0,,,,,,668.473,8.9
,1917,,,148.0,,,,,,605.648,8.2
,1917,,,inf,,,,,,605.648,8.8
,1917,,,142.0,,,,,,605.648,8.2
,1917,,,129.5,,,,,,605.648,8.8
,1917,,,161.0,,,,,,672.499,8.8
,1917,,,129.5,,,,,,605.648,8.2
,1917,,,129.5,,,,,,605.648,8.2
,1917,,,179.0,,,,,,605.648,8.2
,1917,,,129.5,,,,,,605.648,8.2
,1917,,,146.0,,,,,,991.505,8.7
,1917,,,129.5,,,,,,891.071,8.7
,1917,,,169.0,,,,,,605.648,8.6
,1917,,,127.0,,,,,,605.648,8.6
,1917,,,118.0,,,,,,605.648,8.2
,1917,,,121.0,,,,,,605.648,8.6
,1917,,,169.0,,,,,,605.648,8.6
,1917,,,189.0,,,,,,605.648,8.6
,1917,,,130.0,,,,,,685.856,8.6
,1917,,,125.0,,,,,,626.693,8.6
,1917,,,116.0,,,,,,605.648,8.6
,1917,,,132.0,,,,,,470.931,8.6
,1917,,,130.0,,,,,,388.31,8.6
,1917,,,207.0,,,,,,307.958,8.6
,1917,,,155.0,,,,,,605.648,8.5
,1917,,,151.0,,,,,,605.648,8.5
,1917,,,130.0,,,,,,605.648,8.5
,1917,,,116.0,,,,,,605.648,8.5
,1917,,,119.0,,,,,,605.648,8.5
,1917,,,110.0,,,,,,605.648,8.5
,1917,,,137.0,,,,,,974.97,8.4
,1917,,,106.0,,,,,,968.947,8.4
,1917,,,88.0,,,,,,917.248,8.4
,1917,,,122.0,,,,,,855.097,8.4
,1917,,,112.0,,,,,,736.691,8.4
,1917,,,150.0,,,,,,707.942,8.4
,1917,,,106.0,,,,,,690.732,8.4
,1917,,,109.0,,,,,,586.765,8.3
,1917,,,102.0,,,,,,509.953,8.3
,1917,,,165.0,,,,,,295.22,8.3
,1917,,,89.0,,,,,,225.438,8.3
,1917,,,155.0,,,,,,223.05,8.3
,1917,,,87.0,,,,,,211.25,8.3
,1917,,,164.0,,,,,,605.648,8.3
,1917,,,165.0,,,,,,605.648,8.3
,1917,,,113.0,,,,,,605.648,8.2
,1917,,,98.0,,,,,,974.734,8.2
,1917,,,146.0,,,,,,869.48,8.2
,1917,,,115.0,,,,,,865.51,8.2
,1917,,,149.0,,,,,,796.486,8.2
,1917,,,117.0,,,,,,768.874,8.2
,1917,,,181.0,,,,,,754.786,8.2
,1917,,,147.0,,,,,,591.251,8.2
,1917,,,120.0,,,,,,501.082,8.1
,1917,,,95.0,,,,,,441.115,8.1
,1917,,,112.0,,,,,,432.39,8.1
,1917,,,105.0,,,,,,352.455,8.1
,1917,,,137.0,,,,,,349.642,8.1
,1917,,,117.0,,,,,,335.892,8.1
,1917,,,170.0,,,,,,332.217,8.1
,1917,,,134.0,,,,,,331.045,8.0
,1917,,,229.0,,,,,,302.317,8.0
,1917,,,125.0,,,,,,197.381,8.0
,1917,,,110.0,,,,,,195.789,8.0
,1917,,,153.0,,,,,,605.648,8.0
,1917,,,122.0,,,,,,605.648,8.0
,1917,,,178.0,,,,,,941.683,7.9
,1917,,,131.0,,,,,,928.036,7.9
,1917,,,99.0,,,,,,896.551,7.9
,1917,,,108.0,,,,,,889.875,7.9
,1917,,,81.0,,,,,,864.461,7.9
,1917,,,126.0,,,,,,837.379,7.8
,1917,,,104.0,,,,,,766.589,7.8
,1917,,,102.0,,,,,,748.291,7.8
,1917,,,136.0,,,,,,740.301,7.8
,1917,,,103.0,,,,,,739.717,7.8
,1917,,,170.0,,,,,,721.343,7.8
,1917,,,114.0,,,,,,703.264,7.7
,1917,,,122.0,,,,,,690.48,7.7
,1917,,,116.0,,,,,,658.175,7.7
,1917,,,137.0,,,,,,639.5,7.7
,1917,,,149.0,,,,,,587.866,7.6
,1917,,,119.0,,,,,,389.322,7.6
,1917,,,119.0,,,,,,362.897,7.6
,1917,,,160.0,,,,,,361.028,7.6
,1917,,,128.0,,,,,,352.786,7.5
,1917,,,136.0,,,,,,291.628,7.5
,1917,,,115.0,,,,,,269.616,7.5
,1917,,,228.0,,,,,,261.504,7.5
,1917,,,129.0,,,,,,236.285,7.5
,1917,,,149.0,,,,,,226.427,7.5
,1917,,,132.0,,,,,,226.039,7.4
,1917,,,123.0,,,,,,214.165,7.4
,1917,,,103.0,,,,,,213.152,7.4
